Designator,Mid X,Mid Y,Rotation,Layer
J1,180.54,-69.1,180.0,top
J11,78.7,-101.195,0.0,top
J2,154.24,-69.11,180.0,top
J3,127.94,-69.01,180.0,top
J4,101.64,-69.01,180.0,top
J5,179.56,-115.39,270.0,top
J6,153.26,-115.41,270.0,top
J7,126.94,-115.41,270.0,top
J8,100.64,-115.41,270.0,top
J9,78.7,-77.935,0.0,top
U1,124.35,-90.05,0.0,top
U2,134.35,-90.05,0.0,top
U3,144.35,-90.05,0.0,top
U4,154.35,-90.05,0.0,top
