Designator,Mid X,Mid Y,Rotation,Layer
J1,203.7,-84.775,0.0,top
J2,257.9,-84.9,0.0,top
R1,232.89,-50.6,180.0,top
R2,233.41,-117.3,0.0,top
R3,204.3,-55.0,180.0,bottom
R4,204.2,-58.2,180.0,bottom
R5,204.22,-61.5,180.0,bottom
R6,204.21,-64.5,180.0,bottom
R7,204.2,-67.7,180.0,bottom
R8,204.31,-70.8,180.0,bottom
R9,204.31,-73.9,180.0,bottom
SW1,231.75,-40.45,0.0,top
SW2,231.75,-127.05,0.0,top
U1,232.25,-76.26,90.0,bottom
U2,230.53,-93.25,270.0,bottom
U3,230.88,-83.5125,90.0,top
